ad_spend_id,date,channel_id,campaign_id,adset_id,creative_id,impressions,clicks,conversions,spend,revenue_attributed
ad_2022-10-30_tiktok_paid,2022-10-30,tiktok_paid,campaign_7,adset_44,creative_74,86298,642,100,336.12,475.97
ad_2022-10-31_meta_paid,2022-10-31,meta_paid,campaign_17,adset_8,creative_14,70801,337,200,126.64,169.53
ad_2022-10-31_tiktok_paid,2022-10-31,tiktok_paid,campaign_3,adset_21,creative_100,43219,156,130,110.22,272.34
ad_2022-11-01_meta_paid,2022-11-01,meta_paid,campaign_10,adset_15,creative_58,41216,1288,113,302.4,644.39
ad_2022-11-01_tiktok_paid,2022-11-01,tiktok_paid,campaign_1,adset_1,creative_4,17352,1846,195,327.79,639.46
ad_2022-11-02_meta_paid,2022-11-02,meta_paid,campaign_4,adset_28,creative_20,69152,1555,72,682.16,1473.77
ad_2022-11-02_tiktok_paid,2022-11-02,tiktok_paid,campaign_18,adset_3,creative_11,98852,772,162,772.9,1978.15
ad_2022-11-03_meta_paid,2022-11-03,meta_paid,campaign_8,adset_28,creative_45,49185,840,156,88.14,170.72
ad_2022-11-03_tiktok_paid,2022-11-03,tiktok_paid,campaign_9,adset_15,creative_75,79719,1469,100,425.47,623.69
ad_2022-11-04_meta_paid,2022-11-04,meta_paid,campaign_20,adset_19,creative_80,51872,452,161,268.89,405.13
ad_2022-11-04_tiktok_paid,2022-11-04,tiktok_paid,campaign_16,adset_33,creative_56,17908,1170,81,358.36,886.65
ad_2022-11-05_meta_paid,2022-11-05,meta_paid,campaign_2,adset_13,creative_63,92602,1878,30,430.43,824.76
ad_2022-11-05_tiktok_paid,2022-11-05,tiktok_paid,campaign_12,adset_11,creative_42,85407,907,101,332.98,630.11
ad_2022-11-06_meta_paid,2022-11-06,meta_paid,campaign_7,adset_4,creative_50,22775,1717,118,635.47,1234.56
ad_2022-11-06_tiktok_paid,2022-11-06,tiktok_paid,campaign_8,adset_37,creative_54,33683,711,89,523.46,985.15
ad_2022-11-07_meta_paid,2022-11-07,meta_paid,campaign_14,adset_10,creative_19,28928,1955,105,821.23,1724.39
ad_2022-11-07_tiktok_paid,2022-11-07,tiktok_paid,campaign_5,adset_1,creative_73,32209,678,28,715.83,1224.76
ad_2022-11-08_meta_paid,2022-11-08,meta_paid,campaign_11,adset_37,creative_54,90302,144,199,353.49,558.05
ad_2022-11-08_tiktok_paid,2022-11-08,tiktok_paid,campaign_19,adset_11,creative_37,12883,1598,184,447.8,732.24
ad_2022-11-09_meta_paid,2022-11-09,meta_paid,campaign_3,adset_41,creative_43,33696,494,37,354.12,1047.49
ad_2022-11-09_tiktok_paid,2022-11-09,tiktok_paid,campaign_19,adset_2,creative_28,81376,318,18,298.58,520.63
ad_2022-11-10_meta_paid,2022-11-10,meta_paid,campaign_7,adset_12,creative_58,77443,713,107,739.26,1165.06
ad_2022-11-10_tiktok_paid,2022-11-10,tiktok_paid,campaign_11,adset_40,creative_80,12427,1966,185,257.14,500.82
ad_2022-11-11_meta_paid,2022-11-11,meta_paid,campaign_5,adset_21,creative_99,29547,1114,141,574.04,909.37
ad_2022-11-11_tiktok_paid,2022-11-11,tiktok_paid,campaign_18,adset_40,creative_61,55226,1461,24,764.86,1388.44
ad_2022-11-12_meta_paid,2022-11-12,meta_paid,campaign_4,adset_1,creative_40,23536,524,78,685.03,1529.97
ad_2022-11-12_tiktok_paid,2022-11-12,tiktok_paid,campaign_12,adset_37,creative_30,93716,1391,135,512.34,949.16
ad_2022-11-13_meta_paid,2022-11-13,meta_paid,campaign_5,adset_2,creative_23,29103,1427,85,519.46,749.46
ad_2022-11-13_tiktok_paid,2022-11-13,tiktok_paid,campaign_11,adset_3,creative_39,78517,563,92,368.12,694.15
ad_2022-11-14_meta_paid,2022-11-14,meta_paid,campaign_16,adset_18,creative_89,37436,1397,102,539.83,1519.22
ad_2022-11-14_tiktok_paid,2022-11-14,tiktok_paid,campaign_8,adset_34,creative_99,59089,1413,106,440.6,683.96
ad_2022-11-15_meta_paid,2022-11-15,meta_paid,campaign_7,adset_32,creative_14,60026,1406,109,630.39,1244.37
ad_2022-11-15_tiktok_paid,2022-11-15,tiktok_paid,campaign_8,adset_32,creative_25,14343,1263,193,176.52,242.3
ad_2022-11-16_meta_paid,2022-11-16,meta_paid,campaign_20,adset_47,creative_74,56056,1546,132,340.37,800.67
ad_2022-11-16_tiktok_paid,2022-11-16,tiktok_paid,campaign_16,adset_28,creative_12,19889,904,189,184.93,427.19
ad_2022-11-17_meta_paid,2022-11-17,meta_paid,campaign_1,adset_38,creative_43,75591,285,134,912.82,1586.29
ad_2022-11-17_tiktok_paid,2022-11-17,tiktok_paid,campaign_12,adset_47,creative_70,33020,1336,68,551.07,1617.06
ad_2022-11-18_meta_paid,2022-11-18,meta_paid,campaign_19,adset_37,creative_16,12242,1602,27,408.89,791.23
ad_2022-11-18_tiktok_paid,2022-11-18,tiktok_paid,campaign_1,adset_5,creative_47,91545,1931,179,202.9,594.63
ad_2022-11-19_meta_paid,2022-11-19,meta_paid,campaign_17,adset_7,creative_33,45886,1796,151,746.44,1996.88
ad_2022-11-19_tiktok_paid,2022-11-19,tiktok_paid,campaign_6,adset_33,creative_87,76475,668,195,666.54,1041.21
ad_2022-11-20_meta_paid,2022-11-20,meta_paid,campaign_20,adset_3,creative_42,96557,1424,178,599.06,1157.71
ad_2022-11-20_tiktok_paid,2022-11-20,tiktok_paid,campaign_19,adset_18,creative_23,80090,1614,94,552.14,1276.22
ad_2022-11-21_meta_paid,2022-11-21,meta_paid,campaign_8,adset_45,creative_47,94632,1810,76,274.73,776.33
ad_2022-11-21_tiktok_paid,2022-11-21,tiktok_paid,campaign_6,adset_33,creative_74,12077,1447,86,752.92,1504.84
ad_2022-11-22_meta_paid,2022-11-22,meta_paid,campaign_17,adset_10,creative_11,34585,908,97,569.29,984.08
ad_2022-11-22_tiktok_paid,2022-11-22,tiktok_paid,campaign_17,adset_4,creative_99,67815,212,67,349.53,1042.62
ad_2022-11-23_meta_paid,2022-11-23,meta_paid,campaign_2,adset_34,creative_78,18005,1262,183,405.49,745.48
ad_2022-11-23_tiktok_paid,2022-11-23,tiktok_paid,campaign_10,adset_12,creative_65,18369,925,157,438.52,875.07
ad_2022-11-24_meta_paid,2022-11-24,meta_paid,campaign_7,adset_38,creative_14,26617,354,167,424.76,1173.28
ad_2022-11-24_tiktok_paid,2022-11-24,tiktok_paid,campaign_2,adset_23,creative_38,81127,1807,147,252.15,495.45
ad_2022-11-25_meta_paid,2022-11-25,meta_paid,campaign_14,adset_22,creative_74,61683,1763,77,1766.66,4855.21
ad_2022-11-25_tiktok_paid,2022-11-25,tiktok_paid,campaign_17,adset_36,creative_6,94433,1002,46,1556.11,2869.71
ad_2022-11-26_meta_paid,2022-11-26,meta_paid,campaign_15,adset_4,creative_20,10831,528,168,326.82,581.67
ad_2022-11-26_tiktok_paid,2022-11-26,tiktok_paid,campaign_17,adset_33,creative_39,31440,356,17,1613.12,3074.16
ad_2022-11-27_meta_paid,2022-11-27,meta_paid,campaign_3,adset_47,creative_70,28564,828,160,412.74,975.27
ad_2022-11-27_tiktok_paid,2022-11-27,tiktok_paid,campaign_12,adset_8,creative_98,51101,137,131,845.59,1473.45
ad_2022-11-28_meta_paid,2022-11-28,meta_paid,campaign_19,adset_22,creative_49,10467,900,52,242.88,461.99
ad_2022-11-28_tiktok_paid,2022-11-28,tiktok_paid,campaign_11,adset_4,creative_10,70389,1430,17,1898.42,5300.94
ad_2022-11-29_meta_paid,2022-11-29,meta_paid,campaign_10,adset_21,creative_64,12193,1856,104,220.5,604.42
ad_2022-11-29_tiktok_paid,2022-11-29,tiktok_paid,campaign_18,adset_46,creative_36,36783,467,125,860.38,2544.68
ad_2022-11-30_meta_paid,2022-11-30,meta_paid,campaign_7,adset_42,creative_100,11685,1085,198,2559.41,4865.33
ad_2022-11-30_tiktok_paid,2022-11-30,tiktok_paid,campaign_20,adset_50,creative_64,75294,390,85,1757.56,4828.61
ad_2022-12-01_meta_paid,2022-12-01,meta_paid,campaign_13,adset_47,creative_15,79284,363,169,1692.1,4427.38
ad_2022-12-01_tiktok_paid,2022-12-01,tiktok_paid,campaign_4,adset_32,creative_2,46866,775,51,1775.1,3575.54
ad_2022-12-02_meta_paid,2022-12-02,meta_paid,campaign_10,adset_39,creative_57,42984,1265,143,292.85,608.29
ad_2022-12-02_tiktok_paid,2022-12-02,tiktok_paid,campaign_3,adset_10,creative_88,25379,824,34,1329.53,2354.85
ad_2022-12-03_meta_paid,2022-12-03,meta_paid,campaign_3,adset_42,creative_96,60419,574,71,730.69,1500.38
ad_2022-12-03_tiktok_paid,2022-12-03,tiktok_paid,campaign_18,adset_44,creative_99,53822,1724,73,531.28,1315.58
ad_2022-12-04_meta_paid,2022-12-04,meta_paid,campaign_2,adset_12,creative_11,69963,1871,101,1587.48,3452.45
ad_2022-12-04_tiktok_paid,2022-12-04,tiktok_paid,campaign_7,adset_40,creative_66,96185,257,119,1252.45,1994.01
ad_2022-12-05_meta_paid,2022-12-05,meta_paid,campaign_5,adset_4,creative_66,30584,560,116,588.71,833.42
ad_2022-12-05_tiktok_paid,2022-12-05,tiktok_paid,campaign_19,adset_20,creative_28,70727,399,34,244.84,480.49
ad_2022-12-06_meta_paid,2022-12-06,meta_paid,campaign_8,adset_39,creative_18,40365,1754,34,1587.82,3391.03
ad_2022-12-06_tiktok_paid,2022-12-06,tiktok_paid,campaign_19,adset_9,creative_68,46760,947,183,976.96,1994.66
ad_2022-12-07_meta_paid,2022-12-07,meta_paid,campaign_2,adset_44,creative_23,60578,931,80,288.06,451.72
ad_2022-12-07_tiktok_paid,2022-12-07,tiktok_paid,campaign_2,adset_4,creative_15,86900,1291,138,1080.8,2204.17
ad_2022-12-08_meta_paid,2022-12-08,meta_paid,campaign_15,adset_29,creative_58,50541,478,101,162.65,269.28
ad_2022-12-08_tiktok_paid,2022-12-08,tiktok_paid,campaign_14,adset_23,creative_15,93091,109,164,1398.22,3480.25
ad_2022-12-09_meta_paid,2022-12-09,meta_paid,campaign_18,adset_20,creative_36,20243,1555,114,815.62,1003.11
ad_2022-12-09_tiktok_paid,2022-12-09,tiktok_paid,campaign_18,adset_36,creative_79,42356,1423,123,1116.13,2194.41
ad_2022-12-10_meta_paid,2022-12-10,meta_paid,campaign_2,adset_46,creative_57,35709,1316,116,188.87,428.92
ad_2022-12-10_tiktok_paid,2022-12-10,tiktok_paid,campaign_10,adset_4,creative_12,88881,616,159,1445.05,1777.11
ad_2022-12-11_meta_paid,2022-12-11,meta_paid,campaign_3,adset_46,creative_54,17422,1432,30,299.23,696.58
ad_2022-12-11_tiktok_paid,2022-12-11,tiktok_paid,campaign_9,adset_12,creative_94,48462,441,94,1024.43,2352.97
ad_2022-12-12_meta_paid,2022-12-12,meta_paid,campaign_14,adset_43,creative_54,11544,926,80,888.01,2572.31
ad_2022-12-12_tiktok_paid,2022-12-12,tiktok_paid,campaign_18,adset_9,creative_12,63823,1954,183,1166.98,3103.55
ad_2022-12-13_meta_paid,2022-12-13,meta_paid,campaign_1,adset_12,creative_8,14752,1585,106,506.49,1073.71
ad_2022-12-13_tiktok_paid,2022-12-13,tiktok_paid,campaign_18,adset_49,creative_10,37983,1868,142,696.6,1654.14
ad_2022-12-14_meta_paid,2022-12-14,meta_paid,campaign_8,adset_2,creative_94,46001,831,143,653.92,1464.47
ad_2022-12-14_tiktok_paid,2022-12-14,tiktok_paid,campaign_18,adset_7,creative_91,68322,1409,24,472.26,847.75
ad_2022-12-15_meta_paid,2022-12-15,meta_paid,campaign_3,adset_19,creative_82,37408,1563,135,655.02,1291.12
ad_2022-12-15_tiktok_paid,2022-12-15,tiktok_paid,campaign_14,adset_4,creative_28,92083,1718,36,201.57,337.42
ad_2022-12-16_meta_paid,2022-12-16,meta_paid,campaign_19,adset_36,creative_60,12016,1325,90,1636.57,4389.85
ad_2022-12-16_tiktok_paid,2022-12-16,tiktok_paid,campaign_20,adset_30,creative_11,25656,1249,105,633.27,1651.41
ad_2022-12-17_meta_paid,2022-12-17,meta_paid,campaign_19,adset_33,creative_35,15698,1159,33,1070.08,2111.48
ad_2022-12-17_tiktok_paid,2022-12-17,tiktok_paid,campaign_18,adset_40,creative_87,94117,1129,179,1616.92,3705.75
ad_2022-12-18_meta_paid,2022-12-18,meta_paid,campaign_16,adset_19,creative_87,85694,624,22,1875.19,3976.54
ad_2022-12-18_tiktok_paid,2022-12-18,tiktok_paid,campaign_2,adset_2,creative_85,50240,829,184,694.48,984.04
ad_2022-12-19_meta_paid,2022-12-19,meta_paid,campaign_20,adset_45,creative_55,74360,1316,98,1116.51,2452.29
ad_2022-12-19_tiktok_paid,2022-12-19,tiktok_paid,campaign_3,adset_20,creative_69,96211,1597,61,1069.57,2402.01
ad_2022-12-20_meta_paid,2022-12-20,meta_paid,campaign_10,adset_16,creative_95,11119,616,164,1078.25,1922.76
ad_2022-12-20_tiktok_paid,2022-12-20,tiktok_paid,campaign_15,adset_8,creative_98,29404,655,71,989.48,2358.12
ad_2022-12-21_meta_paid,2022-12-21,meta_paid,campaign_18,adset_35,creative_20,68972,799,125,320.19,451.24
ad_2022-12-21_tiktok_paid,2022-12-21,tiktok_paid,campaign_7,adset_25,creative_21,25207,1882,143,909.33,2359.36
ad_2022-12-22_meta_paid,2022-12-22,meta_paid,campaign_8,adset_38,creative_17,19584,1676,162,1859.9,3956.66
ad_2022-12-22_tiktok_paid,2022-12-22,tiktok_paid,campaign_7,adset_30,creative_29,67209,1522,133,558.99,1130.47
ad_2022-12-23_meta_paid,2022-12-23,meta_paid,campaign_20,adset_41,creative_3,83816,1627,81,984.19,1797.58
ad_2022-12-23_tiktok_paid,2022-12-23,tiktok_paid,campaign_11,adset_12,creative_2,37344,575,80,1303.91,3121.97
ad_2022-12-24_meta_paid,2022-12-24,meta_paid,campaign_14,adset_8,creative_15,13924,1582,150,1128.53,3331.96
ad_2022-12-24_tiktok_paid,2022-12-24,tiktok_paid,campaign_7,adset_42,creative_69,62399,474,153,1813.04,2684.08
ad_2022-12-25_meta_paid,2022-12-25,meta_paid,campaign_1,adset_9,creative_98,54649,753,146,1835.53,5061.89
ad_2022-12-25_tiktok_paid,2022-12-25,tiktok_paid,campaign_12,adset_20,creative_30,79907,652,78,1762.61,3508.22
ad_2022-12-26_meta_paid,2022-12-26,meta_paid,campaign_7,adset_15,creative_84,84836,1320,28,1617.26,3645.01
ad_2022-12-26_tiktok_paid,2022-12-26,tiktok_paid,campaign_4,adset_12,creative_2,10474,335,148,1500.71,2684.15
ad_2022-12-27_meta_paid,2022-12-27,meta_paid,campaign_7,adset_33,creative_19,95516,168,84,1055.23,2632.28
ad_2022-12-27_tiktok_paid,2022-12-27,tiktok_paid,campaign_16,adset_31,creative_73,29568,1675,135,1351.02,3762.58
ad_2022-12-28_meta_paid,2022-12-28,meta_paid,campaign_2,adset_27,creative_5,35638,1831,24,1273.32,1861.8
ad_2022-12-28_tiktok_paid,2022-12-28,tiktok_paid,campaign_19,adset_5,creative_77,72072,780,55,273.71,777.8
ad_2022-12-29_meta_paid,2022-12-29,meta_paid,campaign_9,adset_19,creative_33,79520,789,151,1776.15,4043.35
ad_2022-12-29_tiktok_paid,2022-12-29,tiktok_paid,campaign_7,adset_2,creative_74,22933,1893,171,219.71,492.4
ad_2022-12-30_meta_paid,2022-12-30,meta_paid,campaign_5,adset_39,creative_76,32233,905,151,1057.86,1965.14
ad_2022-12-30_tiktok_paid,2022-12-30,tiktok_paid,campaign_13,adset_3,creative_85,75666,1275,24,903.22,2002.0
ad_2022-12-31_meta_paid,2022-12-31,meta_paid,campaign_10,adset_32,creative_73,16905,557,77,1227.97,2892.66
ad_2022-12-31_tiktok_paid,2022-12-31,tiktok_paid,campaign_18,adset_18,creative_31,38673,302,57,975.25,2786.39
ad_2023-01-01_meta_paid,2023-01-01,meta_paid,campaign_8,adset_3,creative_3,61636,1839,109,292.87,813.34
ad_2023-01-01_tiktok_paid,2023-01-01,tiktok_paid,campaign_4,adset_46,creative_45,99988,1426,106,589.15,1045.85
ad_2023-01-02_meta_paid,2023-01-02,meta_paid,campaign_4,adset_32,creative_97,23484,497,108,269.72,496.89
ad_2023-01-02_tiktok_paid,2023-01-02,tiktok_paid,campaign_3,adset_29,creative_29,47396,1080,99,139.37,383.29
ad_2023-01-03_meta_paid,2023-01-03,meta_paid,campaign_4,adset_35,creative_25,74085,1980,180,89.6,229.88
ad_2023-01-03_tiktok_paid,2023-01-03,tiktok_paid,campaign_7,adset_42,creative_22,21865,524,40,756.61,1977.84
ad_2023-01-04_meta_paid,2023-01-04,meta_paid,campaign_15,adset_30,creative_56,24951,795,50,798.67,2356.12
ad_2023-01-04_tiktok_paid,2023-01-04,tiktok_paid,campaign_12,adset_46,creative_88,28538,1968,24,729.62,1804.13
ad_2023-01-05_meta_paid,2023-01-05,meta_paid,campaign_11,adset_46,creative_34,54452,890,29,365.4,449.78
ad_2023-01-05_tiktok_paid,2023-01-05,tiktok_paid,campaign_17,adset_43,creative_15,15452,1381,162,835.46,1105.51
ad_2023-01-06_meta_paid,2023-01-06,meta_paid,campaign_19,adset_14,creative_65,99885,985,157,771.19,1157.09
ad_2023-01-06_tiktok_paid,2023-01-06,tiktok_paid,campaign_20,adset_5,creative_20,93813,898,66,271.73,590.02
ad_2023-01-07_meta_paid,2023-01-07,meta_paid,campaign_4,adset_30,creative_38,46433,501,89,432.57,710.92
ad_2023-01-07_tiktok_paid,2023-01-07,tiktok_paid,campaign_14,adset_45,creative_69,69061,945,60,804.26,2163.24
ad_2023-01-08_meta_paid,2023-01-08,meta_paid,campaign_20,adset_23,creative_92,93432,889,151,499.82,853.11
ad_2023-01-08_tiktok_paid,2023-01-08,tiktok_paid,campaign_9,adset_41,creative_81,52244,322,12,1002.78,2665.41
ad_2023-01-09_meta_paid,2023-01-09,meta_paid,campaign_13,adset_28,creative_53,20436,1875,180,630.55,1193.56
ad_2023-01-09_tiktok_paid,2023-01-09,tiktok_paid,campaign_6,adset_4,creative_62,92063,189,195,555.23,1601.22
ad_2023-01-10_meta_paid,2023-01-10,meta_paid,campaign_11,adset_18,creative_22,28856,1817,198,323.49,688.5
ad_2023-01-10_tiktok_paid,2023-01-10,tiktok_paid,campaign_19,adset_28,creative_6,47112,777,122,522.9,1106.38
ad_2023-01-11_meta_paid,2023-01-11,meta_paid,campaign_20,adset_50,creative_75,94398,994,110,895.18,1597.06
ad_2023-01-11_tiktok_paid,2023-01-11,tiktok_paid,campaign_16,adset_13,creative_69,80772,1452,194,281.95,697.16
ad_2023-01-12_meta_paid,2023-01-12,meta_paid,campaign_20,adset_43,creative_10,63468,465,199,825.75,1840.58
ad_2023-01-12_tiktok_paid,2023-01-12,tiktok_paid,campaign_19,adset_40,creative_91,80312,1536,25,570.65,876.68
ad_2023-01-13_meta_paid,2023-01-13,meta_paid,campaign_20,adset_49,creative_32,96532,577,98,419.04,906.55
ad_2023-01-13_tiktok_paid,2023-01-13,tiktok_paid,campaign_10,adset_31,creative_86,96811,1318,48,323.93,898.43
ad_2023-01-14_meta_paid,2023-01-14,meta_paid,campaign_10,adset_40,creative_4,11698,496,194,156.32,307.87
ad_2023-01-14_tiktok_paid,2023-01-14,tiktok_paid,campaign_1,adset_9,creative_33,97275,401,24,638.76,1878.85
ad_2023-01-15_meta_paid,2023-01-15,meta_paid,campaign_13,adset_24,creative_5,31769,1915,10,752.88,1587.93
ad_2023-01-15_tiktok_paid,2023-01-15,tiktok_paid,campaign_6,adset_22,creative_100,76277,1790,147,423.46,666.35
ad_2023-01-16_meta_paid,2023-01-16,meta_paid,campaign_14,adset_29,creative_12,51949,842,46,420.99,726.4
ad_2023-01-16_tiktok_paid,2023-01-16,tiktok_paid,campaign_20,adset_6,creative_79,37063,1558,79,600.84,931.58
ad_2023-01-17_meta_paid,2023-01-17,meta_paid,campaign_12,adset_19,creative_75,33761,428,163,237.2,495.4
ad_2023-01-17_tiktok_paid,2023-01-17,tiktok_paid,campaign_10,adset_36,creative_94,10173,1219,45,388.08,507.84
ad_2023-01-18_meta_paid,2023-01-18,meta_paid,campaign_15,adset_34,creative_58,91892,1665,15,1032.53,2701.78
ad_2023-01-18_tiktok_paid,2023-01-18,tiktok_paid,campaign_13,adset_17,creative_75,14994,1535,74,991.15,2852.57
ad_2023-01-19_meta_paid,2023-01-19,meta_paid,campaign_18,adset_49,creative_41,12792,1454,10,698.59,1575.91
ad_2023-01-19_tiktok_paid,2023-01-19,tiktok_paid,campaign_4,adset_46,creative_55,54807,1513,53,736.06,1115.24
ad_2023-01-20_meta_paid,2023-01-20,meta_paid,campaign_2,adset_32,creative_98,13567,390,131,109.67,306.62
ad_2023-01-20_tiktok_paid,2023-01-20,tiktok_paid,campaign_13,adset_46,creative_31,31180,130,33,585.96,1555.64
ad_2023-01-21_meta_paid,2023-01-21,meta_paid,campaign_1,adset_28,creative_28,39653,1791,98,112.72,170.52
ad_2023-01-21_tiktok_paid,2023-01-21,tiktok_paid,campaign_14,adset_8,creative_68,52600,1765,114,716.0,2127.93
ad_2023-01-22_meta_paid,2023-01-22,meta_paid,campaign_19,adset_12,creative_30,57543,477,173,657.99,1726.43
ad_2023-01-22_tiktok_paid,2023-01-22,tiktok_paid,campaign_7,adset_13,creative_18,57047,1867,144,528.07,1285.44
ad_2023-01-23_meta_paid,2023-01-23,meta_paid,campaign_13,adset_36,creative_17,41986,1852,164,203.81,532.76
ad_2023-01-23_tiktok_paid,2023-01-23,tiktok_paid,campaign_19,adset_18,creative_16,45438,993,24,204.65,268.03
ad_2023-01-24_meta_paid,2023-01-24,meta_paid,campaign_14,adset_36,creative_52,63428,518,22,250.62,600.26
ad_2023-01-24_tiktok_paid,2023-01-24,tiktok_paid,campaign_3,adset_40,creative_5,49125,1665,119,447.88,1192.21
ad_2023-01-25_meta_paid,2023-01-25,meta_paid,campaign_10,adset_6,creative_65,49744,724,131,558.52,690.97
ad_2023-01-25_tiktok_paid,2023-01-25,tiktok_paid,campaign_5,adset_32,creative_83,12735,608,61,186.0,226.03
ad_2023-01-26_meta_paid,2023-01-26,meta_paid,campaign_17,adset_45,creative_38,86741,127,176,521.15,1289.03
ad_2023-01-26_tiktok_paid,2023-01-26,tiktok_paid,campaign_9,adset_38,creative_87,98673,939,16,121.85,221.62
ad_2023-01-27_meta_paid,2023-01-27,meta_paid,campaign_8,adset_40,creative_3,94033,1268,124,363.42,779.15
ad_2023-01-27_tiktok_paid,2023-01-27,tiktok_paid,campaign_8,adset_30,creative_94,40327,515,42,777.55,1777.61
ad_2023-01-28_meta_paid,2023-01-28,meta_paid,campaign_6,adset_31,creative_13,30219,649,134,214.69,482.3
ad_2023-01-28_tiktok_paid,2023-01-28,tiktok_paid,campaign_10,adset_37,creative_63,28136,524,108,788.39,2092.71
ad_2023-01-29_meta_paid,2023-01-29,meta_paid,campaign_3,adset_35,creative_58,76327,697,190,523.69,1475.54
ad_2023-01-29_tiktok_paid,2023-01-29,tiktok_paid,campaign_16,adset_34,creative_52,19910,695,147,440.21,809.02
ad_2023-01-30_meta_paid,2023-01-30,meta_paid,campaign_10,adset_27,creative_10,95788,196,90,621.03,1369.92
ad_2023-01-30_tiktok_paid,2023-01-30,tiktok_paid,campaign_7,adset_12,creative_60,48391,1940,145,132.56,288.89
ad_2023-01-31_meta_paid,2023-01-31,meta_paid,campaign_7,adset_1,creative_44,12814,1337,54,592.48,1631.14
ad_2023-01-31_tiktok_paid,2023-01-31,tiktok_paid,campaign_3,adset_20,creative_10,89987,1442,38,394.8,1176.37
ad_2023-02-01_meta_paid,2023-02-01,meta_paid,campaign_4,adset_34,creative_40,52703,546,43,954.98,1912.94
ad_2023-02-01_tiktok_paid,2023-02-01,tiktok_paid,campaign_8,adset_6,creative_56,11507,1878,66,170.04,308.63
ad_2023-02-02_meta_paid,2023-02-02,meta_paid,campaign_3,adset_39,creative_78,89789,1755,66,381.83,925.22
ad_2023-02-02_tiktok_paid,2023-02-02,tiktok_paid,campaign_10,adset_30,creative_5,38147,186,200,567.84,1463.3
ad_2023-02-03_meta_paid,2023-02-03,meta_paid,campaign_5,adset_2,creative_63,26163,1976,61,686.19,1601.83
